               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.043094,            0.012217,           0.0071021,             0.77092,             0.75131,             0.77937,             0.34335,            0.036403,           0.0058848,            0.011397,           0.0089159,           0.0089159,           0.0089159
                  74,            0.043641,            0.012052,           0.0074375,             0.81378,             0.76085,             0.79876,             0.33542,            0.040621,           0.0056876,           0.0099098,            0.008887,            0.008887,            0.008887
                  75,            0.043643,            0.012314,           0.0075184,             0.84935,             0.77416,             0.80877,             0.38714,            0.036945,           0.0057211,           0.0092389,           0.0088579,           0.0088579,           0.0088579
                  76,            0.043393,            0.012296,           0.0075744,             0.78841,             0.74795,             0.76172,             0.31067,             0.03758,           0.0056371,           0.0097131,           0.0088284,           0.0088284,           0.0088284
                  77,            0.043329,            0.012175,           0.0073687,             0.81809,             0.76312,             0.80711,             0.36148,            0.039362,           0.0058327,            0.010184,           0.0087987,           0.0087987,           0.0087987
                  78,            0.043035,            0.012183,           0.0075224,             0.76154,             0.77983,              0.7754,             0.38431,            0.036382,           0.0058279,            0.010347,           0.0087686,           0.0087686,           0.0087686
                  79,            0.042685,            0.011729,           0.0072759,             0.86197,             0.75059,             0.83384,             0.35854,            0.037786,           0.0055193,            0.011375,           0.0087382,           0.0087382,           0.0087382
                  80,            0.042425,            0.011975,           0.0072339,             0.81249,             0.78578,             0.83069,             0.39318,            0.036025,           0.0056136,            0.011714,           0.0087075,           0.0087075,           0.0087075
                  81,            0.042677,            0.011954,           0.0070896,              0.8156,             0.81617,             0.84631,             0.34027,            0.037025,           0.0054205,             0.01095,           0.0086765,           0.0086765,           0.0086765
                  82,             0.04272,             0.01212,           0.0070476,             0.79236,             0.79865,             0.80701,             0.38253,            0.037347,           0.0056147,           0.0093622,           0.0086452,           0.0086452,           0.0086452
                  83,            0.042411,            0.011985,           0.0069673,             0.85964,             0.78109,               0.818,             0.40046,            0.036096,             0.00558,           0.0096643,           0.0086137,           0.0086137,           0.0086137
                  84,            0.042108,            0.011773,           0.0070948,             0.84007,             0.80688,             0.82483,             0.42788,            0.035202,            0.005083,             0.01024,           0.0085818,           0.0085818,           0.0085818
                  85,            0.042911,            0.011973,            0.007016,             0.80839,             0.74732,             0.78723,             0.38087,            0.037381,           0.0058314,            0.010399,           0.0085497,           0.0085497,           0.0085497
                  86,            0.042445,            0.011856,           0.0071902,             0.82382,             0.76623,             0.80607,             0.39803,            0.036546,            0.005366,           0.0099166,           0.0085173,           0.0085173,           0.0085173
                  87,            0.041987,             0.01194,           0.0071924,             0.80441,             0.77824,              0.7769,             0.40138,            0.035584,           0.0057139,           0.0090707,           0.0084846,           0.0084846,           0.0084846
                  88,            0.041865,            0.011947,           0.0069135,             0.84418,             0.79755,             0.81061,             0.38176,            0.036624,           0.0056123,            0.010058,           0.0084516,           0.0084516,           0.0084516
                  89,            0.042254,            0.011784,           0.0067708,             0.85467,             0.72047,             0.79154,             0.35543,            0.036543,           0.0058171,            0.011745,           0.0084184,           0.0084184,           0.0084184
                  90,            0.041837,            0.011991,           0.0073568,             0.74931,             0.79151,             0.79471,             0.33771,            0.039041,           0.0057183,            0.011514,           0.0083849,           0.0083849,           0.0083849
                  91,            0.042379,            0.011728,           0.0072272,             0.79752,             0.72459,             0.78181,             0.36773,            0.037709,           0.0061786,           0.0096855,           0.0083511,           0.0083511,           0.0083511
                  92,            0.041472,            0.011873,           0.0067683,               0.854,             0.79986,             0.83847,             0.37618,            0.037273,           0.0054698,           0.0085584,           0.0083171,           0.0083171,           0.0083171
                  93,            0.041141,            0.011662,           0.0062317,              0.8223,             0.81743,             0.84869,             0.39025,            0.035753,           0.0055936,           0.0091205,           0.0082829,           0.0082829,           0.0082829
