               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.025496,            0.012088,           0.0039579,              0.9285,             0.86796,             0.94995,             0.60118,            0.024675,           0.0056713,            0.011429,           0.0095252,           0.0095252,           0.0095252
                  49,            0.025401,            0.012097,           0.0041597,             0.90267,             0.79581,             0.89521,             0.55825,             0.02559,            0.007857,            0.022648,           0.0095052,           0.0095052,           0.0095052
                  50,            0.025435,            0.012446,           0.0044559,             0.83979,             0.82975,             0.89391,             0.60787,            0.023356,           0.0058637,            0.025361,           0.0094849,           0.0094849,           0.0094849
                  51,            0.025034,            0.012059,           0.0041321,             0.90306,             0.90864,              0.9422,             0.58579,             0.02404,           0.0054646,            0.014445,           0.0094641,           0.0094641,           0.0094641
                  52,            0.025094,            0.012179,           0.0041459,             0.95198,             0.89798,             0.94662,             0.59528,            0.024282,           0.0049712,            0.026317,            0.009443,            0.009443,            0.009443
                  53,            0.025425,            0.012159,           0.0040786,             0.94071,             0.93132,             0.95823,             0.61743,             0.02297,           0.0050064,            0.029795,           0.0094215,           0.0094215,           0.0094215
                  54,            0.024842,            0.012118,           0.0037619,             0.91897,             0.92731,              0.9651,             0.63967,            0.023297,           0.0048576,            0.023302,           0.0093996,           0.0093996,           0.0093996
                  55,            0.024855,            0.012033,           0.0043052,             0.92829,             0.92835,              0.9379,               0.562,            0.027321,           0.0054999,            0.023894,           0.0093773,           0.0093773,           0.0093773
                  56,            0.024576,            0.012029,           0.0042388,             0.93575,             0.88599,             0.94426,             0.61968,            0.024715,           0.0051647,             0.02261,           0.0093547,           0.0093547,           0.0093547
                  57,            0.025005,            0.012062,           0.0043031,             0.92476,             0.89456,             0.94661,             0.60449,            0.025112,           0.0053667,            0.018708,           0.0093317,           0.0093317,           0.0093317
                  58,            0.024423,            0.011836,           0.0040528,              0.9491,             0.92279,             0.97612,             0.65749,            0.022779,           0.0044196,            0.021449,           0.0093083,           0.0093083,           0.0093083
                  59,            0.024286,            0.012127,           0.0041479,             0.85707,             0.94193,             0.97458,             0.70222,            0.022295,           0.0042502,            0.031858,           0.0092846,           0.0092846,           0.0092846
                  60,            0.024088,            0.011836,            0.003935,             0.91115,             0.92304,             0.97157,             0.68326,            0.023553,           0.0045259,            0.025979,           0.0092605,           0.0092605,           0.0092605
                  61,            0.024013,            0.011718,           0.0033906,             0.90432,             0.86589,             0.94275,             0.62771,            0.023309,           0.0052102,            0.033815,           0.0092361,           0.0092361,           0.0092361
                  62,            0.023881,            0.011574,           0.0038147,             0.88182,             0.86712,             0.94857,             0.61561,            0.025895,           0.0054677,            0.026115,           0.0092113,           0.0092113,           0.0092113
                  63,            0.023748,            0.011778,           0.0038785,             0.89053,             0.89886,             0.92502,             0.58181,            0.024499,           0.0051318,            0.019331,           0.0091861,           0.0091861,           0.0091861
                  64,            0.023652,            0.011434,           0.0043075,             0.94944,             0.94783,             0.97204,             0.68181,            0.022143,           0.0046545,            0.015437,           0.0091606,           0.0091606,           0.0091606
                  65,            0.023693,            0.011679,           0.0040322,             0.94154,             0.94801,              0.9715,             0.70388,            0.021181,           0.0048391,            0.022086,           0.0091348,           0.0091348,           0.0091348
                  66,            0.023483,            0.011654,           0.0038254,             0.96866,             0.91838,              0.9745,             0.69674,            0.023079,           0.0046986,            0.031607,           0.0091086,           0.0091086,           0.0091086
                  67,            0.023633,            0.011574,           0.0036667,             0.97135,             0.91174,              0.9734,             0.69565,            0.021099,            0.004766,            0.021407,           0.0090821,           0.0090821,           0.0090821
                  68,            0.023116,            0.011363,           0.0036291,             0.92932,             0.94938,             0.97485,             0.68537,            0.020808,            0.004359,            0.023724,           0.0090552,           0.0090552,           0.0090552
                  69,            0.023646,            0.011802,           0.0036676,             0.91979,             0.92926,             0.97283,             0.68057,            0.022393,            0.004623,             0.01962,            0.009028,            0.009028,            0.009028
                  70,            0.023508,            0.011685,           0.0037041,              0.9318,             0.91375,             0.95117,             0.67061,            0.022452,           0.0049944,            0.019348,           0.0090004,           0.0090004,           0.0090004
                  71,            0.023295,            0.011608,           0.0036363,             0.94645,             0.92793,             0.97851,             0.67345,            0.022721,           0.0044235,           0.0072237,           0.0089726,           0.0089726,           0.0089726
                  72,            0.023332,            0.011344,           0.0035524,             0.87219,             0.90014,             0.95122,             0.67576,            0.020749,           0.0047921,            0.026341,           0.0089444,           0.0089444,           0.0089444
                  73,            0.023007,            0.011547,           0.0037179,             0.93015,             0.95666,             0.97174,             0.69273,            0.021192,           0.0045289,            0.014926,           0.0089159,           0.0089159,           0.0089159
                  74,            0.022452,            0.011137,           0.0034999,             0.90936,             0.91421,             0.95632,             0.69492,            0.021757,           0.0045743,            0.024394,            0.008887,            0.008887,            0.008887
                  75,            0.022787,            0.011257,           0.0034162,             0.90667,             0.94569,             0.97033,             0.70149,            0.020658,           0.0048829,            0.014703,           0.0088579,           0.0088579,           0.0088579
                  76,            0.022741,            0.010781,           0.0032638,             0.91446,             0.88796,              0.9524,             0.66854,            0.021181,           0.0046241,            0.020394,           0.0088284,           0.0088284,           0.0088284
                  77,            0.022676,            0.011241,           0.0034685,             0.88657,             0.89461,             0.95316,              0.6963,            0.020179,           0.0043436,            0.025722,           0.0087987,           0.0087987,           0.0087987
                  78,            0.022424,            0.011185,           0.0033374,             0.88667,             0.87143,             0.95568,             0.67467,            0.020828,           0.0043997,            0.029821,           0.0087686,           0.0087686,           0.0087686
                  79,             0.02269,            0.011175,           0.0032259,             0.91889,             0.90436,              0.9684,             0.71826,            0.019491,           0.0042282,            0.027086,           0.0087382,           0.0087382,           0.0087382
